SubID,subject,correct,total_trials,trial_type,condition,trial_type_non_rec,condition_non_rec,probe_type,sub_idx
6576593,63,11,18,0.5,-1,2,1,-0.5,63
6576593,63,10,22,-0.5,-1,1,1,0.5,63
6576593,63,16,24,0.5,-1,2,1,0.5,63
6576627,64,22,24,-0.5,-1,1,1,-0.5,64
6576627,64,12,24,0.5,-1,2,1,-0.5,64
6576627,64,21,23,-0.5,-1,1,1,0.5,64
6576627,64,17,24,0.5,-1,2,1,0.5,64
6576713,65,20,24,-0.5,-1,1,1,-0.5,65
6576713,65,8,24,0.5,-1,2,1,-0.5,65
6576713,65,19,24,-0.5,-1,1,1,0.5,65
6576713,65,7,23,0.5,-1,2,1,0.5,65
6577329,66,13,23,-0.5,-1,1,1,-0.5,66
6577329,66,12,24,0.5,-1,2,1,-0.5,66
6577329,66,12,24,-0.5,-1,1,1,0.5,66
6577329,66,12,24,0.5,-1,2,1,0.5,66
6577309,67,21,24,-0.5,-1,1,1,-0.5,67
6577309,67,15,24,0.5,-1,2,1,-0.5,67
6577309,67,22,23,-0.5,-1,1,1,0.5,67
6577309,67,17,24,0.5,-1,2,1,0.5,67
6577391,68,15,24,-0.5,-1,1,1,-0.5,68
6577391,68,8,24,0.5,-1,2,1,-0.5,68
6577391,68,13,24,-0.5,-1,1,1,0.5,68
6577391,68,13,24,0.5,-1,2,1,0.5,68
6577369,69,16,24,-0.5,-1,1,1,-0.5,69
6577369,69,19,24,0.5,-1,2,1,-0.5,69
6577369,69,13,24,-0.5,-1,1,1,0.5,69
6577369,69,16,23,0.5,-1,2,1,0.5,69
6577895,70,21,24,-0.5,-1,1,1,-0.5,70
6577895,70,13,24,0.5,-1,2,1,-0.5,70
6577895,70,17,23,-0.5,-1,1,1,0.5,70
6577895,70,11,23,0.5,-1,2,1,0.5,70
6581421,71,22,24,-0.5,-1,1,1,-0.5,71
6581421,71,18,24,0.5,-1,2,1,-0.5,71
6581421,71,21,24,-0.5,-1,1,1,0.5,71
6581421,71,18,24,0.5,-1,2,1,0.5,71
6581462,72,13,23,-0.5,-1,1,1,-0.5,72
6581462,72,12,24,0.5,-1,2,1,-0.5,72
6581462,72,16,24,-0.5,-1,1,1,0.5,72
6581462,72,17,24,0.5,-1,2,1,0.5,72
6581463,73,21,23,-0.5,-1,1,1,-0.5,73
6581463,73,10,23,0.5,-1,2,1,-0.5,73
6581463,73,21,24,-0.5,-1,1,1,0.5,73
6581463,73,9,24,0.5,-1,2,1,0.5,73
6581651,74,14,23,-0.5,-1,1,1,-0.5,74
6581651,74,12,24,0.5,-1,2,1,-0.5,74
6581651,74,12,24,-0.5,-1,1,1,0.5,74
6581651,74,12,24,0.5,-1,2,1,0.5,74
6583074,75,12,24,-0.5,-1,1,1,-0.5,75
6583074,75,12,24,0.5,-1,2,1,-0.5,75
6583074,75,14,24,-0.5,-1,1,1,0.5,75
6583074,75,10,23,0.5,-1,2,1,0.5,75
6582974,76,19,24,-0.5,-1,1,1,-0.5,76
6582974,76,12,24,0.5,-1,2,1,-0.5,76
6582974,76,19,24,-0.5,-1,1,1,0.5,76
6582974,76,11,24,0.5,-1,2,1,0.5,76
6583057,77,22,24,-0.5,-1,1,1,-0.5,77
6583057,77,14,22,0.5,-1,2,1,-0.5,77
6583057,77,21,23,-0.5,-1,1,1,0.5,77
6583057,77,17,24,0.5,-1,2,1,0.5,77
6576586,78,8,23,-0.5,1,1,2,-0.5,78
6576586,78,10,23,0.5,1,2,2,-0.5,78
6576586,78,13,22,-0.5,1,1,2,0.5,78
6576586,78,11,22,0.5,1,2,2,0.5,78
6576561,79,13,22,-0.5,1,1,2,-0.5,79
6576561,79,14,23,0.5,1,2,2,-0.5,79
6576561,79,10,23,-0.5,1,1,2,0.5,79
6576561,79,11,21,0.5,1,2,2,0.5,79
6576605,80,13,24,-0.5,1,1,2,-0.5,80
6576605,80,15,24,0.5,1,2,2,-0.5,80
6576605,80,13,23,-0.5,1,1,2,0.5,80
6576605,80,13,23,0.5,1,2,2,0.5,80
6577317,81,18,23,-0.5,1,1,2,-0.5,81
6577317,81,19,24,0.5,1,2,2,-0.5,81
6577317,81,22,24,-0.5,1,1,2,0.5,81
6577317,81,16,24,0.5,1,2,2,0.5,81
6577312,82,22,24,-0.5,1,1,2,-0.5,82
6577312,82,24,24,0.5,1,2,2,-0.5,82
6577312,82,19,24,-0.5,1,1,2,0.5,82
6577312,82,21,23,0.5,1,2,2,0.5,82
6577360,83,19,24,-0.5,1,1,2,-0.5,83
6577360,83,22,24,0.5,1,2,2,-0.5,83
6577360,83,13,24,-0.5,1,1,2,0.5,83
6577360,83,21,24,0.5,1,2,2,0.5,83
6577344,84,20,24,-0.5,1,1,2,-0.5,84
6577344,84,17,24,0.5,1,2,2,-0.5,84
6577344,84,18,24,-0.5,1,1,2,0.5,84
6577344,84,15,24,0.5,1,2,2,0.5,84
6581425,86,21,24,-0.5,1,1,2,-0.5,85
6581425,86,18,24,0.5,1,2,2,-0.5,85
6581425,86,15,24,-0.5,1,1,2,0.5,85
6581425,86,14,23,0.5,1,2,2,0.5,85
6581451,87,21,24,-0.5,1,1,2,-0.5,86
6581451,87,22,24,0.5,1,2,2,-0.5,86
6581451,87,21,24,-0.5,1,1,2,0.5,86
6581451,87,21,24,0.5,1,2,2,0.5,86
6581516,88,18,24,-0.5,1,1,2,-0.5,87
6581516,88,19,24,0.5,1,2,2,-0.5,87
6581516,88,10,23,-0.5,1,1,2,0.5,87
6581516,88,10,24,0.5,1,2,2,0.5,87
6581464,89,21,24,-0.5,1,1,2,-0.5,88
6581464,89,22,24,0.5,1,2,2,-0.5,88
6581464,89,21,24,-0.5,1,1,2,0.5,88
6581464,89,17,23,0.5,1,2,2,0.5,88
6582981,90,16,24,-0.5,1,1,2,-0.5,89
6582981,90,18,24,0.5,1,2,2,-0.5,89
6582981,90,13,23,-0.5,1,1,2,0.5,89
6582981,90,15,23,0.5,1,2,2,0.5,89
6583066,91,17,24,-0.5,1,1,2,-0.5,90
6583066,91,16,24,0.5,1,2,2,-0.5,90
6583066,91,16,24,-0.5,1,1,2,0.5,90
6583066,91,8,23,0.5,1,2,2,0.5,90
6583421,92,13,24,-0.5,1,1,2,-0.5,91
6583421,92,15,24,0.5,1,2,2,-0.5,91
6583421,92,16,23,-0.5,1,1,2,0.5,91
6583421,92,7,24,0.5,1,2,2,0.5,91
6582991,93,20,24,-0.5,1,1,2,-0.5,92
6582991,93,14,24,0.5,1,2,2,-0.5,92
6582991,93,19,24,-0.5,1,1,2,0.5,92
6582991,93,11,24,0.5,1,2,2,0.5,92
6576548,94,24,24,-0.5,-1,1,1,-0.5,93
6576548,94,11,24,0.5,-1,2,1,-0.5,93
6576548,94,22,24,-0.5,-1,1,1,0.5,93
6576548,94,12,24,0.5,-1,2,1,0.5,93
6576640,95,13,24,-0.5,-1,1,1,-0.5,94
6576640,95,11,24,0.5,-1,2,1,-0.5,94
6576640,95,10,24,-0.5,-1,1,1,0.5,94
6576640,95,8,24,0.5,-1,2,1,0.5,94
6576603,96,13,23,-0.5,-1,1,1,-0.5,95
6576603,96,8,23,0.5,-1,2,1,-0.5,95
6576603,96,7,23,-0.5,-1,1,1,0.5,95
6576603,96,13,22,0.5,-1,2,1,0.5,95
6576774,97,11,24,-0.5,-1,1,1,-0.5,96
6576774,97,14,24,0.5,-1,2,1,-0.5,96
6576774,97,11,23,-0.5,-1,1,1,0.5,96
6576774,97,12,22,0.5,-1,2,1,0.5,96
6577301,98,23,24,-0.5,-1,1,1,-0.5,97
6577301,98,18,24,0.5,-1,2,1,-0.5,97
6577301,98,23,24,-0.5,-1,1,1,0.5,97
6577301,98,15,24,0.5,-1,2,1,0.5,97
6577338,99,16,24,-0.5,-1,1,1,-0.5,98
6577338,99,11,23,0.5,-1,2,1,-0.5,98
6577338,99,6,22,-0.5,-1,1,1,0.5,98
6577338,99,13,24,0.5,-1,2,1,0.5,98
6581436,101,19,24,-0.5,-1,1,1,-0.5,99
6581436,101,19,24,0.5,-1,2,1,-0.5,99
6581436,101,14,24,-0.5,-1,1,1,0.5,99
6581436,101,18,24,0.5,-1,2,1,0.5,99
6581431,102,24,24,-0.5,-1,1,1,-0.5,100
6581431,102,12,24,0.5,-1,2,1,-0.5,100
6581431,102,22,23,-0.5,-1,1,1,0.5,100
6581431,102,16,23,0.5,-1,2,1,0.5,100
6581419,103,23,24,-0.5,-1,1,1,-0.5,101
6581419,103,13,23,0.5,-1,2,1,-0.5,101
