SubID,subject,correct,total_trials,trial_type,condition,condition_non_rec,probe_type,sub_idx
6576713,65,0,1,2,-1,1,-0.5,65
6576713,65,1,1,1,-1,1,0.5,65
6576713,65,1,1,2,-1,1,0.5,65
6577329,66,1,1,2,-1,1,-0.5,66
6577329,66,1,1,1,-1,1,0.5,66
6577329,66,1,1,2,-1,1,0.5,66
6577309,67,1,1,2,-1,1,-0.5,67
6577309,67,1,1,1,-1,1,0.5,67
6577309,67,0,1,2,-1,1,0.5,67
6577391,68,0,1,2,-1,1,-0.5,68
6577391,68,1,1,1,-1,1,0.5,68
6577391,68,0,1,2,-1,1,0.5,68
6577369,69,0,1,2,-1,1,-0.5,69
6577369,69,0,1,1,-1,1,0.5,69
6577369,69,0,1,2,-1,1,0.5,69
6577895,70,1,1,2,-1,1,-0.5,70
6577895,70,1,1,1,-1,1,0.5,70
6577895,70,0,1,2,-1,1,0.5,70
6581421,71,1,1,2,-1,1,-0.5,71
6581421,71,1,1,1,-1,1,0.5,71
6581421,71,1,1,2,-1,1,0.5,71
6581462,72,1,1,2,-1,1,-0.5,72
6581462,72,1,1,1,-1,1,0.5,72
6581462,72,0,1,2,-1,1,0.5,72
6581463,73,1,1,2,-1,1,-0.5,73
6581463,73,1,1,1,-1,1,0.5,73
6581463,73,1,1,2,-1,1,0.5,73
6581651,74,0,1,2,-1,1,-0.5,74
6581651,74,0,1,1,-1,1,0.5,74
6581651,74,1,1,2,-1,1,0.5,74
6583074,75,1,1,2,-1,1,-0.5,75
6583074,75,0,1,1,-1,1,0.5,75
6583074,75,1,1,2,-1,1,0.5,75
6582974,76,1,1,2,-1,1,-0.5,76
6582974,76,1,1,1,-1,1,0.5,76
6582974,76,0,1,2,-1,1,0.5,76
6583057,77,1,1,2,-1,1,-0.5,77
6583057,77,0,1,1,-1,1,0.5,77
6583057,77,1,1,2,-1,1,0.5,77
6576586,78,1,1,2,1,2,-0.5,78
6576586,78,0,1,1,1,2,0.5,78
6576586,78,0,1,2,1,2,0.5,78
6576561,79,1,1,2,1,2,-0.5,79
6576561,79,1,1,1,1,2,0.5,79
6576561,79,0,1,2,1,2,0.5,79
6576605,80,1,1,2,1,2,-0.5,80
6576605,80,0,1,1,1,2,0.5,80
6576605,80,0,1,2,1,2,0.5,80
6577317,81,1,1,2,1,2,-0.5,81
6577317,81,0,1,1,1,2,0.5,81
6577317,81,0,1,2,1,2,0.5,81
6577312,82,1,1,2,1,2,-0.5,82
6577312,82,0,1,1,1,2,0.5,82
6577312,82,1,1,2,1,2,0.5,82
6577360,83,1,1,2,1,2,-0.5,83
6577360,83,1,1,1,1,2,0.5,83
6577360,83,0,1,2,1,2,0.5,83
6577344,84,1,1,2,1,2,-0.5,84
6577344,84,0,1,1,1,2,0.5,84
6577344,84,0,1,2,1,2,0.5,84
6581425,86,1,1,2,1,2,-0.5,85
6581425,86,0,1,1,1,2,0.5,85
6581425,86,1,1,2,1,2,0.5,85
6581451,87,1,1,2,1,2,-0.5,86
6581451,87,0,1,1,1,2,0.5,86
6581451,87,0,1,2,1,2,0.5,86
6581516,88,1,1,2,1,2,-0.5,87
6581516,88,0,1,1,1,2,0.5,87
6581516,88,1,1,2,1,2,0.5,87
6581464,89,1,1,2,1,2,-0.5,88
6581464,89,0,1,1,1,2,0.5,88
6581464,89,1,1,2,1,2,0.5,88
6582981,90,0,1,2,1,2,-0.5,89
6582981,90,1,1,1,1,2,0.5,89
6582981,90,1,1,2,1,2,0.5,89
6583066,91,1,1,2,1,2,-0.5,90
6583066,91,0,1,1,1,2,0.5,90
6583066,91,0,1,2,1,2,0.5,90
6583421,92,1,1,2,1,2,-0.5,91
6583421,92,0,1,1,1,2,0.5,91
6583421,92,1,1,2,1,2,0.5,91
6582991,93,1,1,2,1,2,-0.5,92
6582991,93,1,1,1,1,2,0.5,92
6582991,93,0,1,2,1,2,0.5,92
6576548,94,1,1,2,-1,1,-0.5,93
6576548,94,1,1,1,-1,1,0.5,93
6576548,94,0,1,2,-1,1,0.5,93
6576640,95,1,1,2,-1,1,-0.5,94
6576640,95,0,1,1,-1,1,0.5,94
6576640,95,1,1,2,-1,1,0.5,94
6576603,96,0,1,2,-1,1,-0.5,95
6576603,96,1,1,1,-1,1,0.5,95
