SubID,subject,correct,total_trials,trial_type,condition,trial_type_non_rec,condition_non_rec,probe_type,phase,sub_idx
6577374,37,0,1,0.5,1,2,2,0.5,1,30
6577374,37,1,1,-0.5,1,1,2,0.5,2,30
6577374,37,0,1,0.5,1,2,2,0.5,2,30
6577493,38,0,1,-0.5,1,1,2,-0.5,1,31
6577493,38,1,1,0.5,1,2,2,-0.5,1,31
6577493,38,1,1,-0.5,1,1,2,-0.5,2,31
6577493,38,1,1,0.5,1,2,2,-0.5,2,31
6577493,38,1,1,-0.5,1,1,2,0.5,1,31
6577493,38,1,1,0.5,1,2,2,0.5,1,31
6577493,38,1,1,-0.5,1,1,2,0.5,2,31
6577493,38,1,1,0.5,1,2,2,0.5,2,31
6581457,40,1,1,-0.5,1,1,2,-0.5,1,32
6581457,40,0,1,0.5,1,2,2,-0.5,1,32
6581457,40,1,1,-0.5,1,1,2,-0.5,2,32
6581457,40,0,1,0.5,1,2,2,-0.5,2,32
6581457,40,0,1,-0.5,1,1,2,0.5,1,32
6581457,40,1,1,0.5,1,2,2,0.5,1,32
6581457,40,0,1,-0.5,1,1,2,0.5,2,32
6581457,40,1,1,0.5,1,2,2,0.5,2,32
6581473,41,1,1,-0.5,1,1,2,-0.5,1,33
6581473,41,1,1,0.5,1,2,2,-0.5,1,33
6581473,41,1,1,-0.5,1,1,2,-0.5,2,33
6581473,41,1,1,0.5,1,2,2,-0.5,2,33
6581473,41,0,1,-0.5,1,1,2,0.5,1,33
6581473,41,1,1,0.5,1,2,2,0.5,1,33
6581473,41,1,1,-0.5,1,1,2,0.5,2,33
6581473,41,1,1,0.5,1,2,2,0.5,2,33
6581482,42,1,1,-0.5,1,1,2,-0.5,1,34
6581482,42,1,1,0.5,1,2,2,-0.5,1,34
6581482,42,1,1,-0.5,1,1,2,-0.5,2,34
6581482,42,1,1,0.5,1,2,2,-0.5,2,34
6581482,42,1,1,-0.5,1,1,2,0.5,1,34
6581482,42,1,1,0.5,1,2,2,0.5,1,34
6581482,42,1,1,-0.5,1,1,2,0.5,2,34
6581482,42,1,1,0.5,1,2,2,0.5,2,34
6582995,44,1,1,-0.5,1,1,2,-0.5,1,35
6582995,44,0,1,0.5,1,2,2,-0.5,1,35
6582995,44,1,1,-0.5,1,1,2,-0.5,2,35
6582995,44,1,1,0.5,1,2,2,-0.5,2,35
6582995,44,0,1,-0.5,1,1,2,0.5,1,35
6582995,44,1,1,0.5,1,2,2,0.5,1,35
6582995,44,1,1,-0.5,1,1,2,0.5,2,35
6582995,44,0,1,0.5,1,2,2,0.5,2,35
6583070,45,1,1,-0.5,1,1,2,-0.5,1,36
6583070,45,0,1,0.5,1,2,2,-0.5,1,36
6583070,45,1,1,-0.5,1,1,2,-0.5,2,36
6583070,45,1,1,0.5,1,2,2,-0.5,2,36
6583070,45,1,1,-0.5,1,1,2,0.5,1,36
6583070,45,1,1,0.5,1,2,2,0.5,1,36
6583070,45,0,1,-0.5,1,1,2,0.5,2,36
6583070,45,0,1,0.5,1,2,2,0.5,2,36
6576577,48,1,1,-0.5,1,1,2,-0.5,1,37
6576577,48,1,1,0.5,1,2,2,-0.5,1,37
6576577,48,1,1,-0.5,1,1,2,-0.5,2,37
6576577,48,1,1,0.5,1,2,2,-0.5,2,37
6576577,48,1,1,-0.5,1,1,2,0.5,1,37
6576577,48,1,1,0.5,1,2,2,0.5,1,37
6576577,48,1,1,-0.5,1,1,2,0.5,2,37
6576577,48,0,1,0.5,1,2,2,0.5,2,37
6576671,49,1,1,-0.5,1,1,2,-0.5,1,38
6576671,49,1,1,0.5,1,2,2,-0.5,1,38
6576671,49,1,1,-0.5,1,1,2,-0.5,2,38
6576671,49,1,1,0.5,1,2,2,-0.5,2,38
6576671,49,0,1,-0.5,1,1,2,0.5,1,38
6576671,49,1,1,0.5,1,2,2,0.5,1,38
6576671,49,0,1,-0.5,1,1,2,0.5,2,38
6576671,49,0,1,0.5,1,2,2,0.5,2,38
6576614,50,1,1,-0.5,1,1,2,-0.5,1,39
6576614,50,0,1,0.5,1,2,2,-0.5,1,39
6576614,50,1,1,-0.5,1,1,2,-0.5,2,39
6576614,50,0,1,0.5,1,2,2,-0.5,2,39
6576614,50,1,1,-0.5,1,1,2,0.5,1,39
6576614,50,0,1,0.5,1,2,2,0.5,1,39
6576614,50,0,1,-0.5,1,1,2,0.5,2,39
6576614,50,0,1,0.5,1,2,2,0.5,2,39
6577313,51,1,1,-0.5,1,1,2,-0.5,1,40
6577313,51,1,1,0.5,1,2,2,-0.5,1,40
6577313,51,0,1,-0.5,1,1,2,-0.5,2,40
6577313,51,1,1,0.5,1,2,2,-0.5,2,40
6577313,51,0,1,-0.5,1,1,2,0.5,1,40
6577313,51,0,1,0.5,1,2,2,0.5,1,40
6577313,51,1,1,-0.5,1,1,2,0.5,2,40
6577313,51,1,1,0.5,1,2,2,0.5,2,40
6577307,52,1,1,-0.5,1,1,2,-0.5,1,41
6577307,52,0,1,0.5,1,2,2,-0.5,1,41
6577307,52,1,1,-0.5,1,1,2,-0.5,2,41
6577307,52,0,1,0.5,1,2,2,-0.5,2,41
6577307,52,0,1,-0.5,1,1,2,0.5,1,41
6577307,52,1,1,0.5,1,2,2,0.5,1,41
6577307,52,1,1,-0.5,1,1,2,0.5,2,41
6577307,52,0,1,0.5,1,2,2,0.5,2,41
6577350,53,1,1,-0.5,1,1,2,-0.5,1,42
6577350,53,1,1,0.5,1,2,2,-0.5,1,42
6577350,53,1,1,-0.5,1,1,2,-0.5,2,42
6577350,53,1,1,0.5,1,2,2,-0.5,2,42
6577350,53,1,1,-0.5,1,1,2,0.5,1,42
6577350,53,1,1,0.5,1,2,2,0.5,1,42
6577350,53,1,1,-0.5,1,1,2,0.5,2,42
6577350,53,1,1,0.5,1,2,2,0.5,2,42
6577363,54,0,1,-0.5,1,1,2,-0.5,1,43
6577363,54,1,1,0.5,1,2,2,-0.5,1,43
6577363,54,1,1,-0.5,1,1,2,-0.5,2,43
6577363,54,1,1,0.5,1,2,2,-0.5,2,43
6577363,54,1,1,-0.5,1,1,2,0.5,1,43
6577363,54,0,1,0.5,1,2,2,0.5,1,43
6577363,54,0,1,-0.5,1,1,2,0.5,2,43
6577363,54,0,1,0.5,1,2,2,0.5,2,43
6577883,55,1,1,-0.5,1,1,2,-0.5,1,44
6577883,55,1,1,0.5,1,2,2,-0.5,1,44
6577883,55,1,1,-0.5,1,1,2,-0.5,2,44
6577883,55,1,1,0.5,1,2,2,-0.5,2,44
6577883,55,1,1,-0.5,1,1,2,0.5,1,44
6577883,55,0,1,0.5,1,2,2,0.5,1,44
6577883,55,0,1,-0.5,1,1,2,0.5,2,44
6577883,55,1,1,0.5,1,2,2,0.5,2,44
6581416,57,1,1,-0.5,1,1,2,-0.5,1,45
6581416,57,0,1,0.5,1,2,2,-0.5,1,45
6581416,57,1,1,-0.5,1,1,2,-0.5,2,45
6581416,57,0,1,0.5,1,2,2,-0.5,2,45
6581416,57,1,1,-0.5,1,1,2,0.5,1,45
6581416,57,0,1,0.5,1,2,2,0.5,1,45
6581416,57,0,1,-0.5,1,1,2,0.5,2,45
6581416,57,1,1,0.5,1,2,2,0.5,2,45
6583063,59,1,1,-0.5,1,1,2,-0.5,1,46
6583063,59,1,1,0.5,1,2,2,-0.5,1,46
6583063,59,1,1,-0.5,1,1,2,-0.5,2,46
6583063,59,1,1,0.5,1,2,2,-0.5,2,46
6583063,59,1,1,-0.5,1,1,2,0.5,1,46
6583063,59,0,1,0.5,1,2,2,0.5,1,46
6583063,59,1,1,-0.5,1,1,2,0.5,2,46
6583063,59,1,1,0.5,1,2,2,0.5,2,46
6583120,60,1,1,-0.5,1,1,2,-0.5,1,47
6583120,60,0,1,0.5,1,2,2,-0.5,1,47
6583120,60,1,1,-0.5,1,1,2,-0.5,2,47
6583120,60,0,1,0.5,1,2,2,-0.5,2,47
6583120,60,1,1,-0.5,1,1,2,0.5,1,47
6583120,60,1,1,0.5,1,2,2,0.5,1,47
6583120,60,1,1,-0.5,1,1,2,0.5,2,47
6583120,60,0,1,0.5,1,2,2,0.5,2,47
6583198,62,1,1,-0.5,1,1,2,-0.5,1,48
6583198,62,1,1,0.5,1,2,2,-0.5,1,48
6583198,62,1,1,-0.5,1,1,2,-0.5,2,48
6583198,62,1,1,0.5,1,2,2,-0.5,2,48
6583198,62,1,1,-0.5,1,1,2,0.5,1,48
6583198,62,0,1,0.5,1,2,2,0.5,1,48
6583198,62,0,1,-0.5,1,1,2,0.5,2,48
6583198,62,1,1,0.5,1,2,2,0.5,2,48
6576593,63,0,1,-0.5,-1,1,1,-0.5,1,49
6576593,63,1,1,0.5,-1,2,1,-0.5,1,49
6576593,63,1,1,-0.5,-1,1,1,-0.5,2,49
6576593,63,1,1,0.5,-1,2,1,-0.5,2,49
6576593,63,0,1,-0.5,-1,1,1,0.5,1,49
6576593,63,1,1,0.5,-1,2,1,0.5,1,49
6576593,63,1,1,-0.5,-1,1,1,0.5,2,49
6576593,63,1,1,0.5,-1,2,1,0.5,2,49
6577329,66,1,1,-0.5,-1,1,1,-0.5,1,50
6577329,66,0,1,0.5,-1,2,1,-0.5,1,50
6577329,66,0,1,-0.5,-1,1,1,-0.5,2,50
6577329,66,0,1,0.5,-1,2,1,-0.5,2,50
6577329,66,0,1,-0.5,-1,1,1,0.5,1,50
6577329,66,0,1,0.5,-1,2,1,0.5,1,50
6577329,66,1,1,-0.5,-1,1,1,0.5,2,50
6577329,66,1,1,0.5,-1,2,1,0.5,2,50
6577309,67,1,1,-0.5,-1,1,1,-0.5,1,51
6577309,67,1,1,0.5,-1,2,1,-0.5,1,51
6577309,67,1,1,-0.5,-1,1,1,-0.5,2,51
6577309,67,0,1,0.5,-1,2,1,-0.5,2,51
6577309,67,1,1,-0.5,-1,1,1,0.5,1,51
6577309,67,0,1,0.5,-1,2,1,0.5,1,51
6577309,67,1,1,-0.5,-1,1,1,0.5,2,51
6577309,67,0,1,0.5,-1,2,1,0.5,2,51
6577391,68,0,1,-0.5,-1,1,1,-0.5,1,52
6577391,68,0,1,0.5,-1,2,1,-0.5,1,52
6577391,68,1,1,-0.5,-1,1,1,-0.5,2,52
6577391,68,0,1,0.5,-1,2,1,-0.5,2,52
6577391,68,0,1,-0.5,-1,1,1,0.5,1,52
6577391,68,1,1,0.5,-1,2,1,0.5,1,52
6577391,68,1,1,-0.5,-1,1,1,0.5,2,52
6577391,68,1,1,0.5,-1,2,1,0.5,2,52
6577369,69,0,1,-0.5,-1,1,1,-0.5,1,53
6577369,69,1,1,0.5,-1,2,1,-0.5,1,53
6577369,69,1,1,-0.5,-1,1,1,-0.5,2,53
6577369,69,1,1,0.5,-1,2,1,-0.5,2,53
6577369,69,1,1,-0.5,-1,1,1,0.5,1,53
6577369,69,0,1,0.5,-1,2,1,0.5,1,53
6577369,69,0,1,-0.5,-1,1,1,0.5,2,53
6577369,69,1,1,0.5,-1,2,1,0.5,2,53
6577895,70,1,1,-0.5,-1,1,1,-0.5,1,54
6577895,70,0,1,0.5,-1,2,1,-0.5,1,54
6577895,70,1,1,-0.5,-1,1,1,-0.5,2,54
6577895,70,0,1,0.5,-1,2,1,-0.5,2,54
6577895,70,0,1,-0.5,-1,1,1,0.5,1,54
