SubID,subject,correct,total_trials,trial_type,expected,condition,condition_non_rec,probe_type,sub_idx
6581416,57,6,9,1,-0.5,1,2,0.5,57
6581416,57,6,9,1,0.5,1,2,0.5,57
6581416,57,5,6,2,-0.5,1,2,0.5,57
6581416,57,9,12,2,0.5,1,2,0.5,57
6581441,58,6,6,2,-0.5,1,2,-0.5,58
6581441,58,10,12,2,0.5,1,2,-0.5,58
6581441,58,3,9,1,-0.5,1,2,0.5,58
6581441,58,7,9,1,0.5,1,2,0.5,58
6581441,58,5,6,2,-0.5,1,2,0.5,58
6581441,58,6,12,2,0.5,1,2,0.5,58
6583063,59,4,6,2,-0.5,1,2,-0.5,59
6583063,59,10,12,2,0.5,1,2,-0.5,59
6583063,59,8,9,1,-0.5,1,2,0.5,59
6583063,59,7,9,1,0.5,1,2,0.5,59
6583063,59,2,6,2,-0.5,1,2,0.5,59
6583063,59,6,12,2,0.5,1,2,0.5,59
6583120,60,5,6,2,-0.5,1,2,-0.5,60
6583120,60,11,12,2,0.5,1,2,-0.5,60
6583120,60,9,9,1,-0.5,1,2,0.5,60
6583120,60,6,9,1,0.5,1,2,0.5,60
6583120,60,5,6,2,-0.5,1,2,0.5,60
6583120,60,11,12,2,0.5,1,2,0.5,60
6583099,61,5,6,2,-0.5,1,2,-0.5,61
6583099,61,8,12,2,0.5,1,2,-0.5,61
6583099,61,4,9,1,-0.5,1,2,0.5,61
6583099,61,2,9,1,0.5,1,2,0.5,61
6583099,61,3,6,2,-0.5,1,2,0.5,61
6583099,61,8,12,2,0.5,1,2,0.5,61
6583198,62,5,6,2,-0.5,1,2,-0.5,62
6583198,62,9,12,2,0.5,1,2,-0.5,62
6583198,62,3,9,1,-0.5,1,2,0.5,62
6583198,62,7,9,1,0.5,1,2,0.5,62
6583198,62,1,6,2,-0.5,1,2,0.5,62
6583198,62,5,12,2,0.5,1,2,0.5,62
6576593,63,3,6,2,-0.5,-1,1,-0.5,63
6576593,63,6,12,2,0.5,-1,1,-0.5,63
6576593,63,8,9,1,-0.5,-1,1,0.5,63
6576593,63,9,9,1,0.5,-1,1,0.5,63
6576593,63,0,6,2,-0.5,-1,1,0.5,63
6576593,63,9,12,2,0.5,-1,1,0.5,63
6576627,64,3,6,2,-0.5,-1,1,-0.5,64
6576627,64,6,12,2,0.5,-1,1,-0.5,64
6576627,64,9,9,1,-0.5,-1,1,0.5,64
6576627,64,9,9,1,0.5,-1,1,0.5,64
6576627,64,4,6,2,-0.5,-1,1,0.5,64
6576627,64,10,12,2,0.5,-1,1,0.5,64
6576713,65,5,6,2,-0.5,-1,1,-0.5,65
6576713,65,7,12,2,0.5,-1,1,-0.5,65
6576713,65,6,9,1,-0.5,-1,1,0.5,65
6576713,65,8,9,1,0.5,-1,1,0.5,65
6576713,65,2,6,2,-0.5,-1,1,0.5,65
6576713,65,7,12,2,0.5,-1,1,0.5,65
6577329,66,1,6,2,-0.5,-1,1,-0.5,66
6577329,66,7,12,2,0.5,-1,1,-0.5,66
6577329,66,7,9,1,-0.5,-1,1,0.5,66
6577329,66,9,9,1,0.5,-1,1,0.5,66
6577329,66,4,6,2,-0.5,-1,1,0.5,66
6577329,66,8,12,2,0.5,-1,1,0.5,66
6577309,67,5,6,2,-0.5,-1,1,-0.5,67
6577309,67,9,12,2,0.5,-1,1,-0.5,67
6577309,67,9,9,1,-0.5,-1,1,0.5,67
6577309,67,9,9,1,0.5,-1,1,0.5,67
6577309,67,4,6,2,-0.5,-1,1,0.5,67
6577309,67,11,12,2,0.5,-1,1,0.5,67
6577391,68,2,6,2,-0.5,-1,1,-0.5,68
6577391,68,6,12,2,0.5,-1,1,-0.5,68
6577391,68,8,9,1,-0.5,-1,1,0.5,68
6577391,68,7,9,1,0.5,-1,1,0.5,68
6577391,68,3,6,2,-0.5,-1,1,0.5,68
6577391,68,11,12,2,0.5,-1,1,0.5,68
6577369,69,5,6,2,-0.5,-1,1,-0.5,69
6577369,69,12,12,2,0.5,-1,1,-0.5,69
6577369,69,8,9,1,-0.5,-1,1,0.5,69
6577369,69,5,9,1,0.5,-1,1,0.5,69
6577369,69,5,6,2,-0.5,-1,1,0.5,69
6577369,69,8,12,2,0.5,-1,1,0.5,69
6577895,70,4,6,2,-0.5,-1,1,-0.5,70
6577895,70,11,12,2,0.5,-1,1,-0.5,70
6577895,70,3,9,1,-0.5,-1,1,0.5,70
6577895,70,4,9,1,0.5,-1,1,0.5,70
6577895,70,2,6,2,-0.5,-1,1,0.5,70
6577895,70,5,12,2,0.5,-1,1,0.5,70
6581421,71,6,6,2,-0.5,-1,1,-0.5,71
6581421,71,11,12,2,0.5,-1,1,-0.5,71
6581421,71,9,9,1,-0.5,-1,1,0.5,71
6581421,71,9,9,1,0.5,-1,1,0.5,71
6581421,71,6,6,2,-0.5,-1,1,0.5,71
6581421,71,11,12,2,0.5,-1,1,0.5,71
6581462,72,3,6,2,-0.5,-1,1,-0.5,72
6581462,72,4,12,2,0.5,-1,1,-0.5,72
6581462,72,4,9,1,-0.5,-1,1,0.5,72
6581462,72,5,9,1,0.5,-1,1,0.5,72
6581462,72,2,6,2,-0.5,-1,1,0.5,72
6581462,72,5,12,2,0.5,-1,1,0.5,72
6581463,73,6,6,2,-0.5,-1,1,-0.5,73
6581463,73,9,12,2,0.5,-1,1,-0.5,73
6581463,73,9,9,1,-0.5,-1,1,0.5,73
6581463,73,9,9,1,0.5,-1,1,0.5,73
6581463,73,6,6,2,-0.5,-1,1,0.5,73
6581463,73,10,12,2,0.5,-1,1,0.5,73
6581651,74,3,6,2,-0.5,-1,1,-0.5,74
6581651,74,6,12,2,0.5,-1,1,-0.5,74
6581651,74,5,9,1,-0.5,-1,1,0.5,74
6581651,74,2,9,1,0.5,-1,1,0.5,74
6581651,74,3,6,2,-0.5,-1,1,0.5,74
6581651,74,4,12,2,0.5,-1,1,0.5,74
6583074,75,2,6,2,-0.5,-1,1,-0.5,75
6583074,75,7,12,2,0.5,-1,1,-0.5,75
6583074,75,4,9,1,-0.5,-1,1,0.5,75
6583074,75,5,9,1,0.5,-1,1,0.5,75
6583074,75,3,6,2,-0.5,-1,1,0.5,75
6583074,75,5,12,2,0.5,-1,1,0.5,75
6582974,76,4,6,2,-0.5,-1,1,-0.5,76
6582974,76,8,12,2,0.5,-1,1,-0.5,76
6582974,76,9,9,1,-0.5,-1,1,0.5,76
6582974,76,9,9,1,0.5,-1,1,0.5,76
6582974,76,2,6,2,-0.5,-1,1,0.5,76
6582974,76,7,12,2,0.5,-1,1,0.5,76
6583057,77,6,6,2,-0.5,-1,1,-0.5,77
6583057,77,12,12,2,0.5,-1,1,-0.5,77
6583057,77,4,9,1,-0.5,-1,1,0.5,77
6583057,77,2,9,1,0.5,-1,1,0.5,77
6583057,77,6,6,2,-0.5,-1,1,0.5,77
6583057,77,11,12,2,0.5,-1,1,0.5,77
6576586,78,2,6,2,-0.5,1,2,-0.5,78
6576586,78,6,12,2,0.5,1,2,-0.5,78
6576586,78,4,9,1,-0.5,1,2,0.5,78
6576586,78,4,9,1,0.5,1,2,0.5,78
6576586,78,3,6,2,-0.5,1,2,0.5,78
6576586,78,6,12,2,0.5,1,2,0.5,78
6576561,79,4,6,2,-0.5,1,2,-0.5,79
6576561,79,9,12,2,0.5,1,2,-0.5,79
6576561,79,7,9,1,-0.5,1,2,0.5,79
6576561,79,3,9,1,0.5,1,2,0.5,79
6576561,79,0,6,2,-0.5,1,2,0.5,79
6576561,79,8,12,2,0.5,1,2,0.5,79
6576605,80,3,6,2,-0.5,1,2,-0.5,80
6576605,80,6,12,2,0.5,1,2,-0.5,80
6576605,80,5,9,1,-0.5,1,2,0.5,80
6576605,80,5,9,1,0.5,1,2,0.5,80
6576605,80,1,6,2,-0.5,1,2,0.5,80
6576605,80,5,12,2,0.5,1,2,0.5,80
6577317,81,3,6,2,-0.5,1,2,-0.5,81
6577317,81,7,12,2,0.5,1,2,-0.5,81
6577317,81,1,9,1,-0.5,1,2,0.5,81
